"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract","Index Keywords","PubMed ID","EID"
"Li, J.; Li, J.; Xu, X.; Shen, W.; Sun, Y.; Fu, Y.; Tan, X.; Wang, N.; Qi, L.; Wang, B.; Lu, Y.","Li, Jiang (58654555100); Li, Jie (59293615800); Xu, Xiaoqin (58680376500); Shen, Wenqi (57215716962); Sun, Ying (58875406500); Fu, Yanqi (58107241300); Tan, Xiao (56003722500); Wang, Ningjian (56637400700); Qi, Lu (57191987767); Wang, Bin (57074241400); Lu, Yingli (55506466600)","58654555100; 59293615800; 58680376500; 57215716962; 58875406500; 58107241300; 56003722500; 56637400700; 57191987767; 57074241400; 55506466600","Social determinants of health, accelerated biological aging, and long-term health outcomes","2026","Nature Communications","10.1038/s41467-025-67622-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028482540&doi=10.1038%2Fs41467-025-67622-7&partnerID=40&md5=b70a9ebcfda1a314108aab06e1198ebd","Social determinants of health (SDHs) are the primary drivers of health inequalities, but whether biological aging plays a role in linking SDHs to health outcomes remains unclear. Here we utilize detailed information on social determinants across five domains, clinical parameters and electronic health records from the UK Biobank and US NHANES to examine the associations between combined SDHs, accelerated biological aging, and health outcomes. Compared with participants in the favourable SDH group, participants in the unfavourable SDH group had increased KDM-BA and phenotypic age acceleration. Moreover, unfavourable SDHs were associated with elevated risks of mortality and incident diseases. Accelerated biological aging significantly mediated the association between SDHs and all-cause and cause-specific mortality (UK Biobank: mediation proportion 13.46%-25.21%; US NHANES: 7.62%-22.16%). Also, accelerated biological aging served as a mediator between SDHs and incident diseases in the UK Biobank, with the mediation proportions ranging from 6.20% to 30.48%. The estimates were likely specific to the UK Biobank cohort considering its healthy volunteer bias and limited socioeconomic diversity. Overall, our study reveals that the biological aging discrepancy partially explains the associations of combined SDHs with mortality and chronic diseases. Assessing and delaying aging acceleration may be an effective way to narrow the health disparities caused by SDHs. © The Author(s) 2025.","aging population; cohort analysis; mortality; public health; social discrimination; socioeconomic status; United Kingdom; United States; adult; aged; aging; biobank; chronic disease; epidemiology; female; health disparity; human; male; middle aged; nutrition; physiology; social determinants of health; Adult; Aged; Aging; Biological Specimen Banks; Chronic Disease; Female; Health Status Disparities; Humans; Male; Middle Aged; Nutrition Surveys; Social Determinants of Health","41444248","2-s2.0-105028482540"
"Cortez Cardoso Penha, R.C.C.; Onwuka, J.U.; Langdon, R.; Sandanger, T.M.; Nøst, T.H.; Vineis, P.; Johansson, M.; Milne, R.L.; Dugué, P.-A.; Relton, C.; Suderman, M.; McKay, J.; Johansson, M.","Cortez Cardoso Penha, Ricardo (57195132913); Onwuka, Justina Ucheojor (60346160600); Langdon, Ryan J.Q. (57203507760); Sandanger, Torkjel Manning (57208763885); Nøst, Therese Haugdahl (57205025958); Vineis, Paolo (7103293037); Johansson, Mikael B. (35746424500); Milne, Roger L. (36640290600); Dugué, Pierre Antoine (7003282931); Relton, Caroline L. (6603403494); Suderman, Matthew J. (8675316400); McKay, James D. (7201891825); Johansson, Mattias J. (56447900600)","57195132913; 60346160600; 57203507760; 57208763885; 57205025958; 7103293037; 35746424500; 36640290600; 7003282931; 6603403494; 8675316400; 7201891825; 56447900600","DNA methylation-based clocks, tobacco smoking, and lung cancer risk","2026","BMC Medicine","10.1186/s12916-025-04542-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028259560&doi=10.1186%2Fs12916-025-04542-9&partnerID=40&md5=bd0c458dfbb7947ff23c38b6317f1db2","Background: Biological age, estimated by DNA methylation-based (DNAm) clocks, has been reported to be associated with lung cancer risk. However, the extent to which tobacco smoking behaviours can explain this association and the extent to which DNAm clocks and their components can inform risk assessment for lung cancer remains to be elucidated. This study aimed to evaluate the relationship between DNAm clocks, smoking, and lung cancer risk. Methods: We analyzed four prospective cohorts (MCCS, Australia, 324 cases/324 controls; NSHDS, Sweden, 190 cases/190 controls; EPIC, Italy, 160 cases/107 controls; and NOWAC, Norway, 115 case/70 controls) with blood samples collected before lung cancer diagnosis. Study participants were restricted to those with a history of smoking. Incidence sampling was used to match one control to each of the lung cancer cases by cohort, sex, date of blood collection, age, and smoking status in MCCS and NSHDS. The risk discriminative performance of age-adjusted DNAm clocks and their components was compared with that of the Prostate, Lung, Colorectal, and Ovarian model 2012 (PLCO<inf>m2012</inf>) lung cancer risk model. Results: We found several DNAm clocks positively associated with lung cancer risk (Hannum: OR = 1.13, 95% CI = 1.02–1.26; PhenoAge: OR = 1.25, 95% CI = 1.12–1.40; DunedinPACE: OR = 1.44, 95% CI = 1.29–1.62; PCGrimAge (a principal component-denoised GrimAge): OR = 1.79, 95% CI = 1.56–2.06), after adjustment for age and tobacco smoking. Tobacco smoking explained a modest proportion of variance in most age-adjusted DNAm clocks (R2 < 11%), except for PCGrimAge, where it accounted for ~ 30% of variance in both lung cancer cases and controls. Detailed smoking adjustments attenuated the PCGrimAge association with lung cancer risk by 13%. In a secondary analysis adjusting for PCGrimAge components and the PLCO<inf>m2012</inf> score, DNA methylation-predicted packyears emerged as an independent predictor of lung cancer risk (OR = 2.23, 95% CI = 1.58–3.14). The area under the receiver operating characteristic curve (AUC) for the PLCO<inf>m2012</inf> model was 0.66 (95% CI = 0.61–0.71) compared with 0.72 (95% CI = 0.67–0.77) for the PCGrimAge model (P<inf>difference</inf> = 0.03). Combining PCGrimAge with PLCO<inf>m2012</inf> provided similar risk discrimination as PCGrimAge alone (AUC = 0.72, 95% CI = 0.67–0.77). Conclusions: Methylation-based biological clocks capture epigenetic marks left by exposure to tobacco smoke, and some clocks may inform lung cancer risk assessment by complementing or replacing traditional prediction models. © The Author(s) 2025.","cystatin C; growth differentiation factor 15; leptin; tissue inhibitor of metalloproteinase 1; adult; Article; body mass; cancer diagnosis; cancer risk; cohort analysis; controlled study; DNA methylation; DNA methylation age; epigenetics; female; follow up; human; lung cancer; major clinical study; male; middle aged; mortality risk; phenotype; prospective study; risk assessment; risk factor; smoking; tobacco; adverse event; aged; case control study; epidemiology; etiology; genetics; lung tumor; Adult; Aged; Case-Control Studies; DNA Methylation; Female; Humans; Lung Neoplasms; Male; Middle Aged; Prospective Studies; Risk Assessment; Risk Factors; Tobacco Smoking","41402808","2-s2.0-105028259560"
"Li, J.; Li, J.; Xu, X.; Zhang, K.; Wang, N.; Qi, L.; Wang, B.; Lu, Y.","Li, Jie (59293615800); Li, Jiang (58654555100); Xu, Xiaoqin (58680376500); Zhang, Kun (58898567300); Wang, Ningjian (56637400700); Qi, Lu (57191987767); Wang, Bin (57074241400); Lu, Yingli (55506466600)","59293615800; 58654555100; 58680376500; 58898567300; 56637400700; 57191987767; 57074241400; 55506466600","EAT-Lancet and plant-based diets, plasma metabolomic signatures, and biological aging","2026","npj Aging","10.1038/s41514-025-00306-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027543739&doi=10.1038%2Fs41514-025-00306-0&partnerID=40&md5=b2cad0227b2b095251ed0be4a7241b6c","The EAT-Lancet diet has been recently recommended for its potential health and environmental benefits. Here, leveraging data from the UK Biobank, we performed a comparative analysis to examine the associations of adherence to the EAT-Lancet diet versus traditional plant-based diets with biological aging and further assess the mediating role of metabolomic signatures specific to dietary patterns. Compared with the overall or healthful plant-based diet index, higher adherence to the EAT-Lancet diet was more strongly associated with decreased KDM-BA and PhenoAge acceleration and increased telomere length. In contrast, a higher unhealthful plant-based diet index was associated with accelerated biological aging. We identified substantial metabolomic variation in relation to different dietary patterns. The diet-specific metabolomic signatures mediated 26.9–63.0% of the associations between dietary patterns and biological aging. Our findings suggest the potential benefits of adopting the EAT-Lancet and plant-based diets in promoting healthy aging and highlight the potential of metabolomic signatures for informing personalized nutrition interventions. © The Author(s) 2025.","","","2-s2.0-105027543739"
"Luo, L.; Fu, J.; Wang, X.; Sui, X.","Luo, Lei (59460023100); Fu, Jixin (57216609960); Wang, Xinjian (57208885356); Sui, Xin (59275666800)","59460023100; 57216609960; 57208885356; 59275666800","The association between phenotypic age acceleration and the risk of all-cause and cancer mortality among cancer survivors: NHANES 1999–2018","2026","Scientific Reports","10.1038/s41598-025-30747-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027327047&doi=10.1038%2Fs41598-025-30747-2&partnerID=40&md5=8c15a5d34bb2d2322726d3d3055b87c2","Phenotypic age (PhenoAge) is a biological aging clock that estimates an individual’s biological age. However, the effect of PhenoAge acceleration (PhenoAgeAccel) on cancer is unclear. This study investigates the relationship between PhenoAgeAccel and cancer survivors. Data for this cohort study were sourced from the U.S. National Health and Nutrition Examination Survey (NHANES) spanning 1999–2018. The relationship between PhenoAgeAccel and cancer prevalence was evaluated using weighted multivariate logistic regression. Kaplan–Meier analyses and weighted multivariate-adjusted Cox analyses were conducted to examine the association between PhenoAgeAccel and all-cause as well as cancer-specific mortality in cancer survivors. Restricted cubic spline (RCS) analysis was utilized to assess nonlinear associations. Subgroup and sensitivity analyses were also performed to confirm the robustness of the findings. A total of 34,246 participants were included in our study, of which 3067 were cancer survivors (8.95% prevalence). With a median follow-up of 117 months (interquartile range: 50–155 months), there were 1161 deaths, including 351 from cancer. Weighted multivariate regression analysis revealed a significant positive association between higher PhenoAgeAccel and cancer prevalence (P for trend < 0.001). Multivariable-adjusted Cox regression analyses showed that elevated PhenoAgeAccel was significantly associated with increased all-cause and cancer-specific mortality among cancer survivors (P for trend < 0.001). RCS regression indicated no nonlinear relationship between PhenoAgeAccel and mortality outcomes (P for nonlinear relationship > 0.05). Kaplan-Meier analyses indicated a poorer prognosis with higher PhenoAgeAccel. Subgroup analyses based on tumor classification highlighted the differential prognostic impact of PhenoAgeAccel across various tumor types. Our findings reveal a significant linear correlation between PhenoAgeAccel and both all-cause and cancer-specific mortality in cancer survivors. © The Author(s) 2025.","adult; aged; aging; cancer survivor; epidemiology; female; human; Kaplan Meier method; male; middle aged; mortality; neoplasm; nutrition; phenotype; prevalence; risk factor; United States; Adult; Aged; Aging; Cancer Survivors; Female; Humans; Kaplan-Meier Estimate; Male; Middle Aged; Neoplasms; Nutrition Surveys; Phenotype; Prevalence; Risk Factors","41318813","2-s2.0-105027327047"
"Yun, D.; Oh, K.; Kim, Y.; Ahn, Y.M.; Parikh, H.M.; Meng, X.; Wang, Z.; Song, N.","Yun, Dabin (59140193100); Oh, Kwangyeon (59243109000); Kim, Yujin (59621199900); Ahn, Yong-min (7202402913); Parikh, Hemang M. (8745980300); Meng, Xiaoxi (57192590223); Wang, Zhaoming (35346086300); Song, Nan (57201567825)","59140193100; 59243109000; 59621199900; 7202402913; 8745980300; 57192590223; 35346086300; 57201567825","KoMethylNet: a novel epigenetic clock based on neural network analysis of DNA methylation data and epigenetic age acceleration in a Korean population","2026","BMC Medicine","10.1186/s12916-025-04564-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027030696&doi=10.1186%2Fs12916-025-04564-3&partnerID=40&md5=ed173a85ec333a62b4c554120ae3845b","Background: Epigenetic clocks have been extensively investigated in individuals of European ancestry and may be suboptimal in East Asians. We developed a novel epigenetic clock (KoMethylNet) using neural network analysis of DNA methylation (DNAm) data from the Korean population to predict chronological ages. Methods: DNAm data (367,785 CpG sites) from 2,747 participants (Infinium Human Methylation 450 K BeadChip: N = 397; Infinium MethylationEPIC BeadChip: N = 2,350) in the Korean Genome and Epidemiology Study (KoGES) were used to train the neural network on chronological ages. SHapley Additive exPlanation analysis was used to select the optimal number of CpG sites. KoMethylNet-epigenetic age acceleration (EAA)-phenotype analysis was conducted with linear regression, to identify aging-related phenotypes in the Korean population. Results: KoMethylNet, which uses 300 CpG sites, achieved a mean absolute error (MAE) of 2.82 years, a mean squared error (MSE) of 12.68 years, and a Pearson’s correlation coefficient (R) of 0.90 with chronological age. In the external validation using healthy Korean individuals, KoMethylNet achieved the highest performance (MAE = 2.74, MSE = 12.29, R = 0.94). Seven phenotypes, including diabetes-related traits (diabetes, HbA1c, and urine glucose), were positively associated with KoMethylNet-EAA. Conclusions: We developed a neural network-based DNAm aging clock using Korean population data that enables precise age prediction and offers potential opportunities for advancing aging-related research in Korea. © The Author(s) 2025.","albumin; glucose; hemoglobin A1c; adult; alcohol consumption; Article; artificial neural network; cardiovascular disease; cohort analysis; deep learning; diabetes mellitus; DNA methylation; dyslipidemia; educational status; epigenetic clock; female; heart infarction; human; hypertension; Korean (people); lifestyle; machine learning; major clinical study; male; mental stress; middle aged; obesity; physical activity; prospective study; quality control; single nucleotide polymorphism; aged; aging; CpG island; East Asian; genetic epigenesis; genetics; South Korea; Adult; Aged; Aging; CpG Islands; DNA Methylation; East Asian People; Epigenesis, Genetic; Female; Humans; Korean people; Male; Middle Aged; Neural Networks, Computer; Republic of Korea","41339892","2-s2.0-105027030696"
"Tang, D.; Guo, Z.; Chen, J.; Chen, Y.; Zhang, Y.","Tang, Dan (60284486500); Guo, Zhinan (55390535800); Chen, Juanjuan (60283881500); Chen, Youlan (58978542400); Zhang, Yidun (60284336600)","60284486500; 55390535800; 60283881500; 58978542400; 60284336600","Different dimensions of smoking behavior and their associations with accelerated composite biomarkers-based biological aging in Chinese older adults","2026","BMC Geriatrics","10.1186/s12877-025-06828-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026712861&doi=10.1186%2Fs12877-025-06828-2&partnerID=40&md5=e04102d7a959b405ccfedf0826c36b12","Background: Smoking is a leading risk factor for numerous adverse health outcomes. However, in the context of a dramatically increasing aging population, evidence on how different dimensions of smoking characteristics is associated with biological aging remains limited and inconclusive. Methods: This cross-sectional study involved 143,955 participants aged ≥ 65 years from the Chinese National Basic Public Health Services Project in 2021. A composite biomarkers-based biological age (BA) was constructed using the Klemera-Doubal method (KDM). We estimated the associations of different dimensions of smoking (including smoking status, smoking initiation age, cigarettes smoked per day, smoking duration, years of smoking-to-age ratio, and cumulative smoking pack-years) with the value, and the severity of KDM-BA acceleration using multiple linear regression and multinomial logistic regression, respectively. Restricted cubic splines (RCS) were used to examine their dose-response relationships. Results: All dimensions of smoking behavior were significantly associated with accelerated KDM-BA and elevated risk of severely accelerated aging (Δ ≥ 2 years). Compared with never smokers, participants who were current smokers, smoked since childhood, smoked more than 20 cigarettes per day, smoked for more than 50 years, smoked for more than 70% of their years of life, and smoked more than 40 pack-years, had an increased KDM-BA acceleration by 0.33 (95% CI: 0.30–0.36), 0.55 (95% CI: 0.29–0.81), 0.32 (95% CI: 0.29–0.35), 0.35 (95% CI: 0.31–0.38), 0.35 (95% CI: 0.32–0.39), and 0.33 (95% CI: 0.30–0.36) years, respectively. According to results of RCS, smoking duration and years of smoking-to-age ratio showed a linearly increasing dose-response relationship with KDM-BA acceleration, while the patterns for cigarettes smoked per day and cumulative smoking pack-years exhibited a rapid increase initially, but followed a slight decline after reaching a peak at approximately 15 cigarettes/day and 55 pack-years. Among participants ever smoked, earlier smoking initiation age was associated with greater KDM-BA acceleration, reaching a plateau after age 20. Conclusions: Different dimensions of smoking show robust and dose-response relationships with composite biomarkers-based BA acceleration. Our findings confirm that there is no safe level of smoking and emphasize the public health significance of achieving small but population-wide shifts in biological age by strengthening tobacco control measures. © The Author(s) 2025.","biological marker; adverse event; aged; aging; Asian; blood; China; cross-sectional study; epidemiology; female; human; male; physiology; psychology; risk factor; smoking; very elderly; Aged; Aged, 80 and over; Aging; Asian People; Biomarkers; Cross-Sectional Studies; Female; Humans; Male; Risk Factors; Smoking","41327046","2-s2.0-105026712861"
"Mourelle-Sanmartín, P.; Lorenzo-López, L.; Millán-Calenti, J.C.; Andrew, M.K.; Theou, O.","Mourelle-Sanmartín, Pablo (58548131200); Lorenzo-López, Laura (57201289551); Millán-Calenti, José Carlos (6507030225); Andrew, Melissa Kathryn (56819253000); Theou, Olga (23398558600)","58548131200; 57201289551; 6507030225; 56819253000; 23398558600","From age to frailty: redefining chronic pain characterization","2026","Aging Clinical and Experimental Research","10.1007/s40520-025-03273-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026697544&doi=10.1007%2Fs40520-025-03273-4&partnerID=40&md5=99e16f2f1c4502ab61af3363868cd012","Background: Chronic pain in older adults is highly prevalent, multifactorial, and often associated with greater intensity, multisite involvement, and functional impairment. Despite its burden, it remains frequently underdiagnosed and undertreated. Chronological age alone does not adequately capture biological vulnerability or interindividual variability in pain expression. Aims: To examine the associations of frailty, an indirect marker of biological age, and chronological age with chronic pain characteristics. Methods: We conducted a cross-sectional study including 455 adults (≥18 years) recruited from primary care. Thirty-three pain characteristics were assessed through structured interviews. Frailty was quantified using a 31-item Frailty Index based on the deficit accumulation model. Associations of frailty, chronological age, and sex with each pain variable were analyzed using multivariable linear and logistic regression models. Results: Most pain characteristics were more consistently associated with frailty than with chronological age, although effect sizes were modest (sr2 typically 1–5%). Frailty correlated with greater pain intensity (sr 0.23, r2 5.3%), higher frequency (sr 0.10, r2 1.1%), and continuous or mixed-type pain (OR 0.97, 95% CI 0.95–0.99). In contrast, chronological age primarily predicted temporal aspects, including pain duration, diagnostic delay, and time to first analgesic prescription. Age and frailty showed opposite directions of association for certain domains, such as accompanying symptoms and daily pain duration. Conclusion: Frailty provides complementary information to chronological age in characterizing chronic pain. Integrating frailty assessment into routine pain evaluation may enable more individualized management, enhance pain control, and reduce age-related disparities in clinical care. © The Author(s) 2025.","analgesic agent; adult; age; aged; analytical research; anorexia; Article; asthenia; biological age; chronic pain; cross-sectional study; female; frailty; headache; hip pain; human; knee pain; low back pain; major clinical study; male; movement (physiology); neuropathic pain; pain intensity; prescription; shoulder pain; sleep disorder; social participation; structured interview; temperature; very elderly; article; controlled study; drug combination; pain; pain assessment","41329254","2-s2.0-105026697544"
"Bozack, A.K.; Khodasevich, D.; Nwanaji-Enwerem, J.C.; Gladish, N.; Shen, H.; Daredia, S.; Needham, B.L.; Rehkopf, D.H.; Guasch-Ferré, M.; Cardenas, A.","Bozack, Anne K. (55752087700); Khodasevich, Dennis (57221596004); Nwanaji-Enwerem, Jamaji C. (55631011300); Gladish, Nicole (57193826977); Shen, Hanyang (57199935135); Daredia, Saher (57965388500); Needham, Belinda L. (7003656844); Rehkopf, David H. (6602465684); Guasch-Ferré, Marta (55110459200); Cardenas, Andrès (55315594400)","55752087700; 57221596004; 55631011300; 57193826977; 57199935135; 57965388500; 7003656844; 6602465684; 55110459200; 55315594400","Dietary fatty acids and epigenetic aging in US adults: results from the National Health and Nutrition Examination Survey","2026","npj Aging","10.1038/s41514-025-00298-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026667612&doi=10.1038%2Fs41514-025-00298-x&partnerID=40&md5=a0d686a3193ca7cff658b19e28f50e5d","Fatty acids are involved in disease risk and aging processes. In the US National Health and Nutrition Examination Survey (1999–2002), we tested for associations of total, saturated (SFA), monounsaturated (MUFA), polyunsaturated (PUFA), and subtypes of dietary fatty acids with DNA methylation-based aging biomarkers, adjusting for age, BMI, total energy intake, and sociodemographic and behavioral factors (N = 2260). Higher SFA and MUFA were associated with greater GrimAge2, an aging biomarker of mortality; PUFA was associated with lower Horvath1, Hannum, and PhenoAge (p < 0.05). Omega-3 and the PUFA:SFA ratio were negatively associated with Horvath1, Hannum, Vidal-Bralo, and PhenoAge. Notably, a one-unit increase in PUFA:SFA was associated with 1.05 years lower PhenoAge (95% CI = −1.87, −0.22). We found consistent positive associations for SFA subtypes and negative associations for PUFA subtypes with epigenetic aging; associations of MUFA subtypes varied. Future studies, including randomized controlled trials, are needed to investigate causality and downstream clinical outcomes. © The Author(s) 2025.","","","2-s2.0-105026667612"
"Ross, J.P.; Varley, B.J.; Wells, J.K.; Yeh, R.P.L.; Pickett, H.A.; Vasireddy, R.S.; Roberts, L.; Davis, G.; Henry, A.; Craig, M.E.; Gow, M.L.","Ross, Jason P. (36459096000); Varley, Benjamin J. (57204790953); Wells, Jadon K. (58514031400); Yeh, Robyn P.L. (60263706300); Pickett, Hilda Amelia (7003852385); Vasireddy, Raja S. (35489634200); Roberts, Lynne Margaret (7401560649); Davis, Gregory K. (55454931000); Henry, Amanda (7101744117); Craig, Maria E. (59333474500); Gow, Megan L. (55697014500)","36459096000; 57204790953; 58514031400; 60263706300; 7003852385; 35489634200; 7401560649; 55454931000; 7101744117; 59333474500; 55697014500","DNA methylation and telomere length in 2–5 year olds with intrauterine preeclampsia exposure: a P4 sub-study","2026","Clinical Epigenetics","10.1186/s13148-025-02029-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026381475&doi=10.1186%2Fs13148-025-02029-1&partnerID=40&md5=7952d1391839bd610d0ef49b1e7fabd0","Preeclampsia is a hypertensive disorder of pregnancy characterised by new onset hypertension at ≥ 20 weeks’ gestation accompanied by maternal organ dysfunction and/ or fetal compromise. This hypertensive exposure in pregnancy has known long-term consequences for both the mother and child. Presently, the mechanisms for these cardiometabolic, immunological and neurodevelopmental consequences in the child aren’t well characterised, but epigenetic changes in development and premature biological aging may play a role in the development of these long-term morbidities. To investigate, we assessed genome-wide DNA methylation and biological aging in the blood of 2–5 year-old children with (n = 20) or without (n = 20) previous intrauterine exposure to preeclampsia. Exposure to preeclampsia was associated with 103 differentially methylated regions (DMRs) proximal to both known and novel candidate genes. Biological aging, as determined by two telomere length quantification methods and an epigenetic clock, was found to not be statistically different between the preeclampsia exposure and normotensive pregnancy groups. From the 103 DMRs, gene ontology analysis highlighted that 17 regions are proximal to genes involved in cell–cell adhesion (p = 7.49 × 10–12), and more specifically homophilic cell adhesion (p = 7.49 × 10–12). This is the first study to consider genome-wide epigenetic changes in the blood of young children exposed to preeclampsia in utero, with previous studies concentrating on cord blood or placental biopsy material collected at birth. © Crown 2025.","adult; aging; Article; cell adhesion; clinical article; clinical outcome; controlled study; data analysis; DNA methylation; environmental factor; epigenetics; female; gene ontology; human; molecular clock; morbidity; preeclampsia; prenatal exposure; telomere length; genetic epigenesis; genetics; genome-wide association study; male; pregnancy; prenatal exposure delayed effect; preschool child; procedures; telomere; telomere homeostasis; Adult; Child, Preschool; DNA Methylation; Epigenesis, Genetic; Female; Genome-Wide Association Study; Humans; Male; Pre-Eclampsia; Pregnancy; Prenatal Exposure Delayed Effects; Telomere; Telomere Homeostasis","41286963","2-s2.0-105026381475"
"Z.; Cheung, H.; Ding, K.; Tan, Q.; Y.; Cheng, D.; Kong, S.; Yin, X.; Wang, D.; K.; Y.; Zhou, J.; Luo, Y.; Li, Z.; Chen, L.","; Cheung, Hoiyin (56414121500); Ding, Ke (57195490403); Tan, Qilian (57203269205); Cheng, Dan (57203262083); Kong, Siyu (59002709800); Yin, Xuan (59424114100); Wang, Danpeng (58634402400); Zhou, Jifang (57195221311); Luo, Yan (56374560000); Li, Zezhi (57209290329); Chen, Lihai (57190407983)","60369099200; 56414121500; 57195490403; 57203269205; 60368698100; 57203262083; 59002709800; 59424114100; 58634402400; 60368698200; 60370107400; 57195221311; 56374560000; 57209290329; 57190407983","Biological age acceleration associated with mental and behavioural disorders: Evidence from the UK biobank cohort","2026","Journal of Affective Disorders","10.1016/j.jad.2026.121265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029243657&doi=10.1016%2Fj.jad.2026.121265&partnerID=40&md5=0d4f33758015cc4379c444e74b407a48","Background Mental and behavioural disorders may accelerate biological ageing, but comprehensive evidence integrating observational and causal approaches is lacking. Methods We performed observational and Mendelian randomisation (MR) analyses. First, 502,411 UK Biobank participants (78,674 with ICD-10 Mental and Behavioural Disorders) were propensity score matched (1:1). Biological Age Acceleration (BAA = biological age − chronological age) was regressed on mental and behavioural disorder status, and robustness checks were conducted using heteroscedasticity-robust and cluster-robust standard errors. Second, two-sample MR assessed causal effects of genetic liability to six mental and behavioural disorders on four ageing biomarkers, using strong genetic instruments (F > 10) and validated through sensitivity analyses including MR-Egger, Cochran's Q, and leave-one-out tests. Results Ever having a diagnosis of a mental and behavioural disorder was associated with higher BAA (β = 0.261, 95% CI: 0.229–0.293, P < 0.001). Strongest associations were observed for disorders of psychological development (β = 0.717), organic mental and behavioural disorders (β = 0.395), and mental and behavioural disorders due to psychoactive substance use (β = 0.338). BAA increased with comorbidity count (P-trend <0.001). MR indicated potential causal effects of depression (OR = 5.12 for frailty index), insomnia (OR = 2.04 for frailty index), and anxiety (OR = 1.06 for frailty index) on accelerated ageing, with no evidence of horizontal pleiotropy (MR-Egger intercept P > 0.05). Bipolar disorder was associated with slower epigenetic ageing (OR = 0.71 for GrimAge). Alcohol use disorder increased facial ageing (OR = 1.02). Schizophrenia showed no significant associations. Conclusions Mental and behavioural disorders are observationally and robustly linked to accelerated biological ageing, with a dose-response by comorbidity. Genetic evidence supports potential causal roles for depression, insomnia, and anxiety in promoting ageing, while bipolar disorder may relate to slower epigenetic ageing. Biological ageing should be considered in the long-term management of mental health. © 2026 Elsevier B.V.","","41610891","2-s2.0-105029243657"
